id,naslov,avtor,ocene,povprecje,stevilo_glasujocih,tocke
12948,The Turn of the Screw,Henry James,"69,930",3.45,84,"5,095"
45162,Fingersmith,Sarah Waters,"57,948",4.02,63,"5,095"
20639274,Archer's Voice,Mia Sheridan,"63,233",4.44,59,"5,076"
3698,The Quiet American,Graham Greene,"35,662",3.96,82,"5,075"
13103,The Celestine Prophecy,James Redfield,"79,474",3.60,70,"5,055"
568645,Cross My Heart and Hope to Spy,Ally Carter,"74,903",4.13,64,"5,055"
991197,The Complete Persepolis,Marjane Satrapi,"82,588",4.37,76,"5,036"
10215349,The Immortal Rules,Julie Kagawa,"57,833",4.10,64,"5,031"
28195,Inkspell,Cornelia Funke,"92,585",3.91,71,"5,018"
11808950,Sweet Evil,Wendy Higgins,"62,444",4.12,62,"5,001"
7842288,Beautiful Darkness,Kami Garcia,"109,798",3.84,70,"4,989"
216363,The Man in the High Castle,Philip K. Dick,"118,053",3.65,70,"4,989"
3393124,Max,James Patterson,"62,689",4.07,69,"4,974"
30201299,El Diablo,M.  Robinson,"7,565",4.21,50,"4,974"
153008,Kushiel's Dart,Jacqueline Carey,"59,202",4.04,61,"4,966"
35220,The Red Badge of Courage,Stephen Crane,"77,067",3.21,88,"4,962"
4965,Year of Wonders,Geraldine Brooks,"112,225",4.00,68,"4,955"
3711,White Teeth,Zadie Smith,"94,665",3.75,71,"4,950"
11594257,Under the Never Sky,Veronica Rossi,"97,137",4.00,61,"4,941"
17343,Till We Have Faces,C.S. Lewis,"41,243",4.18,60,"4,924"
39058,The Gormenghast Novels,Mervyn Peake,"7,376",3.98,64,"4,923"
25354,Bastard Out of Carolina,Dorothy Allison,"33,459",4.09,73,"4,917"
42933,Tai-Pan,James Clavell,"37,525",4.25,75,"4,913"
53413,Hopscotch,Julio Cortázar,"21,907",4.25,59,"4,896"
31173,Villette,Charlotte Brontë,"49,823",3.75,65,"4,881"
10603,Cujo,Stephen King,"176,120",3.66,83,"4,879"
46677,"Alexander and the Terrible, Horrible, No Good, Very Bad Day",Judith Viorst,"151,425",4.22,85,"4,860"
50,Hatchet,Gary Paulsen,"242,793",3.68,71,"4,838"
46114,The Waves,Virginia Woolf,"20,069",4.14,62,"4,826"
17340050,Losing Hope,Colleen Hoover,"79,591",4.38,56,"4,812"
3228917,Outliers: The Story of Success,Malcolm Gladwell,"384,699",4.11,68,"4,801"
15842441,Effortless,S.C. Stephens,"107,662",4.37,52,"4,796"
530965,The Day of the Triffids,John Wyndham,"68,936",4.00,70,"4,790"
14662,The Red and the Black,Stendhal,"44,448",3.87,67,"4,790"
68811,Momo,Michael Ende,"36,468",4.29,58,"4,786"
28877,Red Dragon,Thomas Harris,"214,106",4.02,72,"4,776"
38619,Magic Bites,Ilona Andrews,"78,626",4.07,62,"4,773"
8705784,Born at Midnight,C.C. Hunter,"72,340",4.13,62,"4,769"
16634,The Glass Bead Game,Hermann Hesse,"24,866",4.12,63,"4,768"
56034,The French Lieutenant's Woman,John Fowles,"40,079",3.86,75,"4,759"
130580,Old Yeller,Fred Gipson,"73,978",4.07,78,"4,758"
6408862,Stolen: A Letter to My Captor,Lucy Christopher,"59,014",3.93,56,"4,738"
2321296,Ink Exchange,Melissa Marr,"51,845",3.68,68,"4,719"
107291,Needful Things,Stephen King,"166,137",3.88,71,"4,718"
2794,The Crying of Lot 49,Thomas Pynchon,"56,619",3.70,60,"4,714"
493456,Extras,Scott Westerfeld,"92,724",3.59,64,"4,711"
7849341,Tiger's Voyage,Colleen Houck,"27,688",4.34,55,"4,693"
270805,Impulse,Ellen Hopkins,"63,526",4.28,55,"4,690"
5472,Animal Farm / 1984,George Orwell,"127,500",4.26,73,"4,684"
337113,The Tenant of Wildfell Hall,Anne Brontë,"69,591",3.91,67,"4,679"
34897,The Dragon Reborn,Robert Jordan,"169,840",4.23,61,"4,669"
34053,Just So Stories,Rudyard Kipling,"39,825",4.09,82,"4,666"
58027,Alias Grace,Margaret Atwood,"69,227",4.00,70,"4,663"
5152478,Wintergirls,Laurie Halse Anderson,"94,872",3.99,58,"4,650"
2325825,Inkdeath,Cornelia Funke,"61,149",3.94,63,"4,633"
538845,Quo Vadis,Henryk Sienkiewicz,"21,238",4.13,60,"4,633"
7824322,Between Shades of Gray,Ruta Sepetys,"108,413",4.36,59,"4,628"
7445,The Glass Castle,Jeannette Walls,"682,723",4.25,61,"4,623"
567678,The Wasp Factory,Iain Banks,"54,869",3.85,60,"4,607"
32499,The Pelican Brief,John Grisham,"305,209",3.96,76,"4,604"
32829,Journey to the Center of the Earth,Jules Verne,"116,038",3.84,78,"4,598"
1895792,The Fury / Dark Reunion,L.J. Smith,"54,846",3.74,66,"4,588"
17402605,The Alchemyst,Michael Scott,"118,941",3.84,62,"4,585"
30659,Meditations,Marcus Aurelius,"60,156",4.21,63,"4,582"
1412138,Iron Kissed,Patricia Briggs,"91,101",4.36,63,"4,564"
249,Tropic of Cancer,Henry Miller,"51,602",3.71,66,"4,559"
4070493,Need,Carrie Jones,"57,150",3.71,62,"4,542"
77392,Anne of the Island,L.M. Montgomery,"104,683",4.21,71,"4,532"
175675,Ragtime,E.L. Doctorow,"31,637",3.88,73,"4,516"
479309,Naked in Death,J.D. Robb,"133,387",4.13,60,"4,512"
18045891,Sharp Objects,Gillian Flynn,"379,434",3.93,53,"4,505"
1158967,Garden Spells,Sarah Addison Allen,"73,412",4.07,60,"4,504"
11573,The Dead Zone,Stephen King,"143,464",3.90,74,"4,503"
261122,The Dead Girls' Dance,Rachel Caine,"50,413",4.06,68,"4,501"
1162022,On the Jellicoe Road,Melina Marchetta,"42,002",4.14,51,"4,497"
68210,Gilead,Marilynne Robinson,"61,098",3.84,62,"4,497"
42603,Black Like Me,John Howard Griffin,"51,231",4.12,74,"4,460"
6339989,Vampire Academy Collection,Richelle Mead,"31,329",4.61,60,"4,459"
13530588,China Blues,Ki Longfellow,"1,165",4.07,48,"4,435"
147865,"Love, Rosie",Cecelia Ahern,"81,805",3.95,53,"4,433"
944073,The Blade Itself,Joe Abercrombie,"114,387",4.14,53,"4,428"
76334,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"119,087",4.03,59,"4,427"
5267365,Don't Judge a Girl by Her Cover,Ally Carter,"59,708",4.20,58,"4,413"
18243700,The Assassin's Blade,Sarah J. Maas,"71,457",4.47,52,"4,403"
4796,The Winter of Our Discontent,John Steinbeck,"31,979",3.99,69,"4,390"
764903,Cheaper by the Dozen,Frank B. Gilbreth Jr.,"30,576",4.00,81,"4,390"
270807,Burned,Ellen Hopkins,"51,544",4.24,52,"4,385"
10204213,The Traitor's Emblem,Juan Gomez-Jurado,"1,633",3.79,44,"4,373"
517188,The Prime of Miss Jean Brodie,Muriel Spark,"32,737",3.76,73,"4,366"
407813,The Blue Sword,Robin McKinley,"48,029",4.24,60,"4,361"
203220,Les Fleurs du Mal,Charles Baudelaire,"36,787",4.26,58,"4,357"
